
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1941"	"16.146"	"18.833"	"26.447"	"32.109"	"34.342"	"32.093"	"30.519"	"28.739"	"28.747"	"26.91"	"20.252"	"16.716"
"1942"	"15.387"	"19.178"	"25.076"	"30.163"	"35.339"	"34.715"	"29.034"	"28.263"	"27.77"	"25.916"	"21.467"	"16.594"
"1943"	"18.523"	"18.437"	"25.573"	"28.658"	"34.923"	"34.218"	"29.838"	"27.366"	"28.551"	"25.864"	"20.884"	"17.139"
"1944"	"16.137"	"18.226"	"23.149"	"28.04"	"35.168"	"33.322"	"29.201"	"28.263"	"28.54"	"24.957"	"21.119"	"18.024"
"1945"	"14.59"	"18.013"	"25.1"	"28.196"	"33.603"	"34.274"	"30.22"	"29.465"	"28.338"	"24.743"	"19.868"	"14.987"
"1946"	"16.678"	"20.482"	"24.407"	"29.893"	"33.204"	"32.121"	"28.727"	"28.459"	"28.676"	"26.247"	"20.82"	"18.008"
"1947"	"15.677"	"19.185"	"25.831"	"31.398"	"34.558"	"34.974"	"29.195"	"28.544"	"28.508"	"25.699"	"21.225"	"16.996"
"1948"	"16.996"	"18.635"	"24.105"	"31.455"	"35.321"	"34.524"	"28.932"	"28.086"	"27.834"	"26.153"	"20.422"	"16.21"
"1949"	"17.359"	"19.26"	"25.028"	"30.721"	"33.689"	"34.437"	"29.874"	"28.054"	"28.46"	"26.525"	"18.773"	"15.414"
"1950"	"16.781"	"17.917"	"23.624"	"28.845"	"34.233"	"32.831"	"29.094"	"28.079"	"28.298"	"25.322"	"19.825"	"16.489"
"1951"	"15.287"	"18.324"	"24.249"	"28.777"	"33.396"	"33.688"	"30.056"	"28.331"	"28.229"	"27.86"	"21.663"	"16.367"
"1952"	"17.528"	"21.034"	"24.374"	"31.049"	"35.004"	"32.727"	"29.118"	"27.724"	"28.406"	"26.163"	"20.376"	"17.096"
"1953"	"16.163"	"20.881"	"28.042"	"30.539"	"34.791"	"33.765"	"28.23"	"27.162"	"27.829"	"25.177"	"19.869"	"18.269"
