
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1942"	"86.892"	"43.499"	"3.859"	"5.581"	"0.208"	"85.776"	"273.627"	"360.172"	"214.914"	"1.199"	"0"	"12.854"
"1943"	"18.167"	"3.991"	"0.359"	"14.623"	"3.927"	"12.52"	"267.728"	"629.965"	"251.541"	"11.475"	"0.142"	"0"
"1944"	"22.985"	"42.093"	"63.095"	"5.296"	"1.001"	"25.03"	"396.298"	"603.635"	"37.217"	"20.893"	"0.017"	"2.884"
"1945"	"40.963"	"5.339"	"0.077"	"10.204"	"2.617"	"62.282"	"207.347"	"339.87"	"142.721"	"33.213"	"0"	"25.151"
"1946"	"0.209"	"37.643"	"3.237"	"3.188"	"2.946"	"162.185"	"367.321"	"451.299"	"67.936"	"28.872"	"32.008"	"6.505"
"1947"	"12.575"	"13.197"	"14.763"	"2.645"	"0.612"	"53.347"	"417.839"	"313.327"	"140.67"	"12.424"	"7.131"	"0.751"
"1948"	"19.226"	"13.32"	"2.084"	"0.29"	"2.199"	"271.71"	"431.153"	"535.793"	"203.889"	"22.836"	"54.391"	"0.273"
"1949"	"0.543"	"36.016"	"2.477"	"0.8"	"6.781"	"24.17"	"340.051"	"512.763"	"95.155"	"79.055"	"0.477"	"0"
"1950"	"27.005"	"11.261"	"63.613"	"0.36"	"0.46"	"98.83"	"333.111"	"471.734"	"71.316"	"1.459"	"0.202"	"19.42"
"1951"	"20.147"	"18.623"	"45.621"	"8.218"	"1.347"	"189.479"	"214.914"	"471.23"	"165.392"	"10.305"	"1.511"	"0"
"1952"	"1.348"	"20.912"	"46.912"	"0.536"	"5.129"	"186.907"	"205.955"	"360.576"	"132.508"	"4.097"	"0.265"	"0.595"
"1953"	"28.249"	"32.146"	"0.015"	"3.335"	"0.164"	"175.993"	"375.729"	"357.983"	"189.742"	"1.515"	"0"	"6.71"
"1954"	"22.26"	"17.606"	"6.273"	"0.085"	"0.886"	"93.515"	"255.529"	"329.508"	"225.525"	"11.822"	"0"	"0.113"
"1955"	"57.4"	"30.471"	"3.208"	"0.39"	"2.073"	"98.241"	"473.076"	"281.163"	"118.033"	"88.741"	"0.11"	"1.034"
"1956"	"45.82"	"26.256"	"15.116"	"0.217"	"7.45"	"243.168"	"274.068"	"383.364"	"343.579"	"85.644"	"88.343"	"7.637"
"1957"	"19.903"	"1.133"	"49.98"	"2.34"	"0.985"	"94.799"	"306.648"	"381.835"	"125.212"	"0.378"	"0.114"	"1.382"
"1958"	"33.259"	"7.843"	"53.29"	"2.149"	"0.015"	"45.813"	"265.727"	"313.295"	"132.457"	"33.316"	"1.729"	"2.989"
"1959"	"69.151"	"7.334"	"0.033"	"0.468"	"34.037"	"14.271"	"213.201"	"405.99"	"72.161"	"133.105"	"0.378"	"0"
"1960"	"17.558"	"0.152"	"16.392"	"2.274"	"1.444"	"62.359"	"467.029"	"551.086"	"85.31"	"38.989"	"0"	"0.002"
"1961"	"40.604"	"16.576"	"0.157"	"0.041"	"3.675"	"84.453"	"282.769"	"488.324"	"208.094"	"52.089"	"4.252"	"6.1"
"1962"	"23.38"	"14.344"	"10.077"	"13.457"	"3.376"	"41.665"	"330.659"	"346.709"	"329.443"	"2.017"	"0.921"	"5.897"
"1963"	"27.255"	"13.043"	"20.149"	"8.559"	"18.991"	"100.308"	"552.932"	"424.233"	"185.143"	"7.83"	"5.541"	"2.918"
"1964"	"0.231"	"9.32"	"5.506"	"5.099"	"6.985"	"74.651"	"339.932"	"337.687"	"220.831"	"14.769"	"6.891"	"0.05"
"1965"	"4.515"	"1.071"	"31.903"	"20.604"	"2.762"	"16.764"	"212.91"	"179.392"	"149.154"	"26.723"	"0.291"	"4.567"
"1966"	"11.82"	"9.289"	"0.454"	"0.14"	"1.548"	"341.222"	"118.1"	"149.383"	"27.224"	"1.657"	"74.127"	"14.62"
"1967"	"7.999"	"0.152"	"45.527"	"4.95"	"1.492"	"55.55"	"292.767"	"626.993"	"236.038"	"1.782"	"0.152"	"35.714"
"1968"	"33.009"	"8.915"	"6.281"	"0.516"	"0.099"	"76.66"	"193.034"	"148.858"	"58.668"	"14.379"	"0"	"6.498"
"1969"	"3.301"	"5.437"	"0.338"	"0.829"	"30.12"	"32.807"	"551.355"	"238.781"	"135.801"	"0.398"	"20.32"	"0"
"1970"	"46.563"	"64.598"	"2.669"	"0.047"	"37.947"	"122.843"	"326.763"	"263.561"	"650.92"	"33.773"	"0.032"	"0"
"1971"	"20.851"	"13.564"	"5.171"	"24.314"	"46.38"	"285.085"	"232.325"	"521.349"	"205.13"	"82.309"	"0.1"	"0"
"1972"	"33.336"	"46.661"	"0.337"	"3.147"	"0.153"	"7.729"	"133.548"	"338.404"	"146.362"	"95.129"	"33.393"	"0.335"
"1973"	"13.797"	"0.694"	"0.263"	"0.158"	"0.341"	"34.218"	"441.144"	"525.961"	"159.558"	"77.367"	"0.557"	"0.002"
"1974"	"1.102"	"1.032"	"0.114"	"0.077"	"3.894"	"52.296"	"421.765"	"247.933"	"67.47"	"15.228"	"2.095"	"0.116"
"1975"	"11.387"	"9.145"	"27.636"	"4.407"	"1.157"	"190.7"	"342.332"	"221.44"	"130.557"	"36.096"	"1.074"	"0"
"1976"	"40.817"	"1.506"	"0.384"	"6.106"	"5.737"	"22.685"	"235.962"	"153.99"	"366.407"	"0.307"	"4.386"	"0"
"1977"	"29.488"	"20.746"	"0.357"	"8.396"	"12.078"	"126.981"	"423.921"	"248.868"	"141.54"	"66.612"	"12.607"	"9.194"
"1978"	"37.582"	"71.153"	"25.656"	"5.55"	"0.688"	"214.23"	"144.028"	"284.011"	"314.94"	"15.395"	"0.391"	"8.988"
"1979"	"35.522"	"9.995"	"0.118"	"4.431"	"0.26"	"161.313"	"249.12"	"166.953"	"71.489"	"1.744"	"87.395"	"2.462"
"1980"	"6.694"	"4.916"	"3.969"	"0.091"	"1.176"	"214.623"	"504.726"	"644.456"	"186.423"	"8.499"	"0.001"	"18.134"
"1981"	"22.241"	"2.39"	"11.77"	"0.758"	"6.868"	"147.215"	"450.859"	"456.93"	"151.03"	"0.36"	"24.813"	"4.781"
"1982"	"86.075"	"13.01"	"42.056"	"3.668"	"29.662"	"102.17"	"220.363"	"422.67"	"434.084"	"2.908"	"55.816"	"6.68"
